cod_produto,num_edicao,cod_cota_hvct,QTDE_REPARTE_HVCT,qtde_encalhe_hvct
85880001,209,1,38,0
86800001,25,1,80,0
87450001,205,1,12,0
89950001,204,1,35,0
90370001,203,1,35,0
90370001,204,1,35,0
94370001,860,1,80,0
94370001,861,1,90,0
94940001,2013,1,50,0
95320001,278,1,20,0
95320001,279,1,20,0
95340001,220,1,30,0
95350001,221,1,30,0
95350001,222,1,30,0
95430001,295,1,40,0
95440001,296,1,30,0
95440001,297,1,50,0
95480001,235,1,40,0
95480001,236,1,50,0
95490001,221,1,20,0
95490001,222,1,20,0
95510001,294,1,30,0
95510001,295,1,35,0
95520001,296,1,30,0
95520001,297,1,30,0
95600001,221,1,40,0
95600001,222,1,40,0
95610001,222,1,45,0
95610001,223,1,45,0
95710001,209,1,35,0
95780001,222,1,50,0
95780001,223,1,60,0
95810001,296,1,30,0
95820001,296,1,20,0
95820001,297,1,20,0
95830001,299,1,35,0
95830001,300,1,35,0
95840001,247,1,30,0
95850001,272,1,30,0
95850001,273,1,30,0
95860001,272,1,35,0
95870001,296,1,25,0
95870001,297,1,25,0
96030001,224,1,50,0
96060001,305,1,30,0
96070001,296,1,35,0
96080001,224,1,30,0
96160001,295,1,25,0
96400001,216,1,35,0
96420001,297,1,40,0
96420001,298,1,40,0
96440001,235,1,50,0
96440001,236,1,50,0
96480001,294,1,30,0
96490001,216,1,25,0
96490001,217,1,25,0
96500001,296,1,40,0
96500001,297,1,40,0
00000001,2417,2,5,0
00000002,2382,2,4,0
00000003,573,2,5,0
00000004,847,2,2,0
00000111,1171,2,10,0
00000111,1172,2,10,0
00000114,1959,2,14,0
00000114,1960,2,16,0
00000133,475,2,12,0
00000441,619,2,17,0
00000444,648,2,18,0
00000446,619,2,7,0
00000446,620,2,4,0
00000552,2316,2,36,0
00000552,2317,2,39,0
00000561,642,2,25,0
00000584,454,2,20,0
00000584,455,2,20,0
00000876,1039,2,13,0
00001051,486,2,6,0
00001406,468,2,9,0
00001406,469,2,4,0
00001840,324,2,24,0
00001840,325,2,26,0
00005198,260,2,15,0
00005198,261,2,12,0
00005416,362,2,12,0
00005499,316,2,7,0
00005499,317,2,9,0
00075650,29,2,17,0
00086900,40,2,6,0
00100104,119,2,4,0
00344954,18,2,14,0
00449206,18,2,20,0
00449206,19,2,20,0
00452107,11,2,6,0
00453593,100,2,5,0
00454118,1,2,3,0
00456426,16,2,4,0
00456860,30,2,14,0
00456860,31,2,14,0
00456860,32,2,14,0
00456860,33,2,12,0
00456884,31,2,12,0
00456884,32,2,12,0
00456884,33,2,12,0
00458963,8,2,3,0
00458963,9,2,3,0
00458970,8,2,3,0
00458970,10,2,2,0
00459151,8,2,3,0
00459861,4,2,11,0
00459861,5,2,15,0
00460034,15,2,10,0
00460034,16,2,5,0
00460034,17,2,5,0
00460034,18,2,3,0
00460034,19,2,6,0
00461314,1,2,11,0
00461321,52,2,4,0
00506500,89,2,20,0
00600001,3,2,3,0
00600501,22,2,6,0
00634508,14,2,8,0
00645900,106,2,10,0
00645900,108,2,10,0
00699600,120,2,10,0
00700053,82,2,8,0
00700053,83,2,8,0
00700891,106,2,6,0
00840600,53,2,12,0
00865800,641,2,6,0
00865800,642,2,10,0
00870501,29,2,29,0
00875100,513,2,7,0
00875100,514,2,12,0
00900188,217,2,5,0
00900188,218,2,4,0
00900271,91,2,5,0
00901570,7,2,2,0
00917800,85,2,15,0
00925100,366,2,5,0
00925100,367,2,4,0
01020001,53,2,8,0
05520076,2317,2,12,0
10128001,75,2,13,0
10962001,178,2,10,0
11016001,185,2,5,0
11034001,168,2,9,0
11489001,39,2,5,0
12046001,329,2,3,0
12194001,70,2,3,0
12369001,165,2,3,0
12369001,166,2,1,0
12451001,163,2,12,0
12451001,164,2,12,0
12458001,164,2,10,0
12458001,165,2,12,0
12459001,164,2,7,0
12499001,163,2,4,0
12504001,163,2,13,0
12506001,163,2,8,0
12519001,709,2,23,0
12519001,710,2,24,0
12561001,704,2,16,0
12561001,705,2,16,0
12561001,706,2,14,0
12764001,294,2,7,0
12764001,295,2,4,0
12786001,400,2,15,0
12788001,681,2,10,0
12788001,682,2,13,0
12788001,683,2,20,0
12824001,64,2,2,0
12858001,169,2,15,0
12904001,157,2,8,0
12921001,294,2,3,0
12921001,295,2,3,0
12975001,129,2,3,0
13007001,1203,2,14,0
13049001,58,2,4,0
13109001,74,2,2,0
13111001,62,2,2,0
13113001,47,2,2,0
13114001,1303,2,25,0
13298001,47,2,1,0
13367001,1301,2,40,0
13374001,51,2,3,0
13486001,84,2,8,0
13532001,49,2,2,0
13538001,54,2,7,0
13645001,82,2,6,0
13852001,60,2,5,0
14089001,96,2,4,0
14179099,53,2,4,0
14186001,137,2,16,0
14186099,119,2,2,0
14187001,136,2,9,0
14187001,137,2,10,0
14328001,137,2,7,0
14328001,138,2,7,0
14363001,137,2,33,0
14365001,308,2,8,0
14367001,241,2,6,0
14407001,13,2,3,0
14416071,46,2,1,0
14419001,129,2,8,0
14419001,130,2,6,0
14489001,2147,2,2,0
14499001,27,2,2,0
14512001,18,2,5,0
14548001,131,2,22,0
14614001,34,2,2,0
14615001,121,2,8,0
14685001,22,2,5,0
14706001,143,2,1,0
14738001,127,2,8,0
14892001,28,2,4,0
14904001,124,2,4,0
14904001,125,2,5,0
14905001,124,2,5,0
14905001,125,2,4,0
14906001,124,2,3,0
14907001,124,2,5,0
15018001,130,2,17,0
15024001,122,2,10,0
15024001,123,2,10,0
15037001,205,2,4,0
15131001,12,2,2,0
